ID,NAME,MKT,INDUSTRY_NAME_1,INDUSTRY_NAME_2
3164,景岳,TSE,藥,機能性食品
3163,波若威,OTC,通訊設備,光纖通訊
3162,精確,OTC,自行車組件,自行車組件
3152,璟德,OTC,電子零組件,被動元件
3149,正達,TSE,光電/ IO,觸控面板
3147,大綜,OTC,軟體服務,系統整合
3144,新揚科,OTC,主機板,FCCL
3141,晶宏,OTC,半導體,IC設計
3131,弘塑,OTC,電子設備,電機設備
3130,一零四,TSE,通訊設備,網路服務
3128,昇銳,OTC,光電/ IO,監控系統
3122,笙泉,OTC,半導體,IC設計
3118,進階,OTC,醫療耗材,醫療耗材
3115,寶島極,OTC,主機板,PCB上-其他
3114,好德,OTC,資訊通路,零組件代理
3105,穩懋,OTC,半導體,特用IC
3095,及成,OTC,電子零組件,機殼
3094,聯傑,TSE,半導體,IC設計
3093,港建,OTC,電子設備,設備通路
3092,鴻碩,OTC,電子零組件,連接器
3090,日電貿,TSE,資訊通路,零組件代理
3089,元炬,OTC,電子零組件,被動元件
3088,艾訊,OTC,主機板,工業電腦
3086,華義,OTC,軟體服務,應用軟體
3085,新零售,OTC,通訊設備,網路服務
3083,網龍,OTC,軟體服務,應用軟體
3081,聯亞,OTC,半導體,特用IC
3078,僑威,OTC,電子零組件,電源供應器
3073,凱柏實業,OTC,建設,建設
3071,協禧,OTC,電子零組件,散熱零組件
3067,全域,OTC,消費性電子,音響設備
3066,李洲,OTC,光電/ IO,封裝及應用
3064,泰偉,OTC,主機板,工業電腦
3062,建漢,TSE,網路設備,網路卡
3060,銘異,TSE,光電/ IO,硬碟磁碟
3059,華晶科,TSE,消費性電子,照相機
3058,立德,TSE,電子零組件,電源供應器
3057,喬鼎,TSE,光電/ IO,硬碟磁碟
3056,總太,TSE,建設,建設
3055,蔚華科,TSE,電子設備,設備通路
3054,立萬利,TSE,光電/ IO,PC週邊
3052,夆典,TSE,建設,建設
3051,力特,TSE,光電/ IO,LCD 原料
3050,鈺德,TSE,光電/ IO,光碟
3049,和鑫,TSE,光電/ IO,觸控面板
3048,益登,TSE,資訊通路,零組件代理
3047,訊舟,TSE,網路設備,網路卡
3046,建碁,TSE,主機板,主機板
3045,台灣大,TSE,通訊設備,電信業
3044,健鼎,TSE,主機板,PCB
3043,科風,TSE,電子零組件,電源供應器
3042,晶技,TSE,電子零組件,石英元件
3041,揚智,TSE,半導體,IC設計
3040,遠見,TSE,其他電子,其他電子
3038,全台,TSE,光電/ IO,LCD-其他
3037,欣興,TSE,主機板,PCB
3036,文曄,TSE,資訊通路,零組件代理
3035,智原,TSE,半導體,IC設計
3034,聯詠,TSE,半導體,IC設計
3033,威健,TSE,資訊通路,零組件代理
3032,偉訓,TSE,電子零組件,機殼
3031,佰鴻,TSE,光電/ IO,封裝及應用
3030,德律,TSE,電子設備,電機設備
3029,零壹,TSE,軟體服務,應用軟體
3028,增你強,TSE,資訊通路,零組件代理
3027,盛達,TSE,網路設備,數據機
3026,禾伸堂,TSE,電子零組件,被動元件
3025,星通,TSE,網路設備,網路卡
3024,憶聲,TSE,家電製品,家電
3023,信邦,TSE,電子零組件,連接器
3022,威強電,TSE,主機板,工業電腦
3021,鴻名,TSE,電子零組件,連接器
3019,亞光,TSE,消費性電子,照相機
3018,同開,TSE,電子設備,廠辦機電
3017,奇鋐,TSE,電子零組件,散熱零組件
3016,嘉晶,TSE,半導體,晶圓材料
3015,全漢,TSE,電子零組件,電源供應器
3014,聯陽,TSE,半導體,IC設計
3013,晟銘電,TSE,電子零組件,機殼
3011,今皓,TSE,電子零組件,連接器
3010,華立,TSE,資訊通路,零組件代理
3008,大立光,TSE,消費性電子,照相機
3006,晶豪科,TSE,半導體,IC設計
3005,神基,TSE,電子零組件,機殼
3004,豐達科,TSE,機車船製造,航空器製造
3003,健和興,TSE,汽車組件,汽車組件
3002,歐格,TSE,電子零組件,電源供應器
2939,凱羿-KY,TSE,貿易業,貿易業
2937,集雅社,OTC,資訊通路,3C通路
2936,客思達-KY,TSE,貿易業,貿易業
2929,淘帝-KY,TSE,百貨批發,百貨購物中
2928,紅馬-KY,OTC,百貨批發,百貨購物中
2926,誠品生活,OTC,百貨批發,百貨購物中
2924,東凌-KY,OTC,百貨批發,百貨購物中
2923,鼎固-KY,TSE,建設,建設
2916,滿心,OTC,百貨批發,百貨購物中
2915,潤泰全,TSE,百貨批發,量販
2913,農林,TSE,貿易業,貿易業
2912,統一超,TSE,百貨批發,便利商店
2911,麗嬰房,TSE,百貨批發,百貨購物中
2910,統領,TSE,百貨批發,百貨購物中
2908,特力,TSE,貿易業,貿易業
2906,高林,TSE,貿易業,貿易業
2905,三商,TSE,百貨批發,百貨購物中
2904,匯僑,TSE,貨運倉儲業,貨運倉儲業
2903,遠百,TSE,百貨批發,百貨購物中
2901,欣欣,TSE,百貨批發,百貨購物中
2897,王道銀行,TSE,本國銀行,本國銀行
2892,第一金,TSE,金融控股,金融控股
